user_id,item_list
0,20 25 56 58 353 53 450 436 271 62
1,6874 21 56 393 53 1068 61 62 58 22
2,21 8819 453 18939 22 6712 22441 22631 17075 1263
3,21 20 58 25 124 393 62 352 55 450
4,21 22 56 124 20 80 61 58 436 353
5,21 53 25 22 20 393 270 124 58 396
6,21 56 22 62 270 521 20 272 53 25
7,21 22 56 20 1154 58 53 672 62 124
8,21 828 9938 22511 9470 11148 11621 4793 9829 22505
9,21 56 58 25 53 348 62 353 270 271
10,22 21 176 20 177 3397 179 175 353 917
11,21 56 25 124 53 71 58 771 95 1154
12,2494 750 21 673 106 5735 56 93 1532 14710
13,21 450 22 56 53 20 1263 448 25 124
14,22 56 124 25 53 58 771 448 352 348
15,22 56 25 124 53 450 22472 348 7632 58
16,22 20 124 25 56 432 53 771 353 436
17,22 21 20 1911 56 124 25 270 521 353
18,80 71 356 77 629 2588 2119 2104 2105 84
19,56 22 20 124 16887 61 130 348 58 450
20,53 21 56 336 61 598 268 393 25 270
21,20422 448 1263 1648 2998 14805 14524 450 13988 453
22,53 56 21 61 598 270 336 393 1752 2592
23,750 828 450 106 1154 448 21 1263 2494 446
24,21 450 56 58 22 271 62 53 20 25
25,22 56 25 20 53 348 58 393 353 270
26,20 124 56 450 25 126 771 53 676 58
27,56 58 20 53 393 124 450 1068 61 394
28,21 126 56 684 22 450 93 25 95 53
29,21 126 836 113 22 56 684 450 20 1498
30,21 22 56 20 25 124 53 345 348 58
31,448 21 1263 731 446 1266 667 453 22 1691
32,21 56 352 521 270 1746 895 58 1898 20
33,21 22 672 126 1640 80 56 20 629 1653
34,450 448 1263 667 1266 446 1648 458 581 20422
35,22403 10221 8819 750 22443 22631 22441 12114 18939 130
36,450 446 453 581 1266 811 458 21 421 20422
37,20 56 58 353 53 436 62 348 270 271
38,21 270 58 53 393 62 22 61 1068 396
39,71 1502 80 2105 692 77 3994 3992 2108 3991
40,21 56 20 22 124 53 348 436 207 270
41,20 450 448 56 124 25 771 353 53 126
42,21 20 56 124 25 771 450 53 58 353
43,21 450 56 62 22 271 25 448 53 1263
45,67 75 2106 68 2119 77 79 84 2111 2112
46,22 126 450 20 21 448 25 93 20422 56
47,22 56 25 124 53 58 270 393 207 353
48,21 22 53 20 25 270 448 58 450 393
49,21 56 22 58 53 25 20 393 62 450
50,21 56 62 450 448 272 53 22 393 394
51,22 21 56 53 450 20 25 61 1266 393
52,20 71 80 68 207 629 2106 2111 124 56
53,1263 450 1266 453 446 20422 21 667 18484 458
54,25 56 124 53 353 207 436 348 270 450
55,21 10221 22 56 15454 20 8819 450 448 58
56,541 773 826 775 1039 385 1108 21 154 993
57,21 20 56 25 124 207 270 58 61 393
58,21 58 20 62 25 270 124 271 393 450
59,21 58 56 22 450 271 62 1514 1212 53
60,20 56 124 25 53 58 353 61 676 393
61,21 551 25 56 537 53 773 626 347 555
62,21 126 676 22 20 450 56 25 677 771
63,56 450 22 53 25 124 58 61 1263 62
64,21 22 10221 19861 22403 21458 450 56 8215 22441
65,773 385 21 626 541 56 750 537 22 993
66,56 20 25 53 270 271 62 436 450 348
67,2256 828 100 109 1733 106 1534 673 759 2259
68,21 22 56 448 25 58 62 271 124 1263
69,626 773 826 56 124 537 25 22 53 1039
70,21 22 56 352 521 126 124 676 678 53
71,21 450 448 56 22 20 1263 453 18919 1266
72,21 393 53 270 271 25 272 55 337 124
73,11621 21420 15304 6138 10376 9829 11678 17449 10023 14490
74,21 22 56 20 124 53 270 61 58 1068
75,56 22 20 450 25 124 58 393 448 61
76,448 22 1263 1266 126 667 446 20 25 1648
77,21 20 450 22 56 53 1266 25 124 1263
78,53 62 1068 25 20 124 598 54 450 348
79,629 450 84 75 2119 67 77 21 2104 2114
80,22 124 56 20 25 58 53 353 348 436
81,21 20 56 25 124 450 448 53 575 530
82,21 541 773 775 385 543 53 1109 56 25
83,56 1263 58 446 453 53 581 667 62 270
84,22 56 20 25 124 58 53 270 271 353
85,53 56 22 25 20 124 270 61 393 58
86,2106 77 67 2111 68 2119 56 2104 22 25
87,21 22 25 20 56 124 53 58 353 348
88,21 22 25 56 124 20 53 348 393 270
89,21 450 22 20 448 25 53 124 352 1263
90,56 450 22 448 62 53 20 393 271 1263
91,4380 15344 22560 3709 5770 22561 3716 19820 14738 3529
92,21 450 22 15454 10221 8819 53 20 16713 1263
93,21 22 20 56 3197 53 25 450 915 58
94,1861 22 21 916 20 1607 1911 917 316 56
95,21 22 20 58 53 25 352 55 124 393
96,22 450 56 448 25 1263 124 453 1266 421
97,21 19458 5413 22 6203 5879 5417 15169 14506 1340
98,21 22 20 124 25 56 676 126 353 771
99,541 773 826 153 1108 1039 993 21 124 25
100,21 537 555 826 25 993 347 124 56 153
101,21 61 270 55 25 450 394 272 348 1748
102,21 22 20 124 56 58 25 28 348 436
103,16887 673 106 130 126 102 127 97 391 21
104,126 21 448 2525 22 450 8875 3539 2717 20
105,704 4577 5070 2057 3391 2792 5068 5069 5938 21
106,21 53 22 20 58 25 61 450 393 270
107,126 20 56 450 25 124 95 448 828 750
108,450 1502 3992 22 56 2106 80 58 2105 836
109,22 25 56 53 348 207 436 347 27 353
110,21 53 450 126 632 56 22 20 1263 393
111,21 15344 62 53 393 22 1068 20 396 394
112,21 22 126 25 20 56 124 53 9209 61
113,21 56 22 393 61 20 62 124 271 348
114,126 356 364 22 80 684 56 124 25 20
115,21 1263 453 22 667 1648 446 56 14524 1266
116,2112 71 67 80 68 21 450 2106 1266 2119
117,21 20 818 450 448 56 22 25 453 667
118,1263 21 1266 446 453 448 22 812 56 58
119,450 828 750 1263 453 21 1849 1266 1532 831
120,21 448 450 56 453 20 1263 25 458 1648
121,21 773 124 537 385 450 56 541 775 1108
