user_id,item_list
0,20 353 771 14710 391 58 208 436 25 271
1,6874 665 24467 21912 1689 18278 21857 21776 15860 1716
2,21319 676 1311 1648 453 750 8819 22415 667 6712
3,20 21 58 352 55 536 62 598 25 353
4,21 22 56 124 20 68 353 61 436 80
5,53 21 270 393 20 25 396 598 348 22
6,521 536 56 895 272 55 352 62 4297 1834
7,1154 21 7569 672 364 14460 344 1618 4574 22415
8,22511 4020 9938 13504 9829 10430 11762 22505 14888 11148
9,21 58 348 353 436 271 272 62 27 771
10,176 175 177 3397 179 1608 1004 22 173 917
11,21 1154 124 8650 356 95 71 771 25 16030
12,2494 750 5735 2419 12542 673 831 1532 106 14710
13,8355 6149 13229 5798 19984 15503 13420 2529 20206 4004
14,22 124 56 25 352 771 58 1023 348 521
15,22472 11761 7632 16380 22 17237 348 124 25 27
16,432 22 20 124 25 2581 771 56 7414 16272
17,1911 22 20 2094 1004 21 3502 1048 4072 1861
18,71 80 2588 88 77 2104 2112 3988 2109 2119
19,496 130 16887 502 17521 102 8900 56 22 20
20,336 350 1449 19219 11429 1752 5805 268 2064 3951
21,20422 11855 13063 22435 14524 11665 20958 2998 13988 448
22,336 1752 752 617 53 2592 598 2064 1748 61
23,750 828 106 1189 1534 831 2494 1154 2124 5
24,22745 7806 21205 24380 3934 10487 20284 271 6785 17656
25,25 436 541 353 348 1437 27 396 468 53
26,676 672 771 20 124 126 95 450 1311 521
27,58 56 394 393 1068 772 53 598 536 61
28,684 93 126 499 486 2559 14710 678 677 107
29,5440 2457 2714 14787 11346 710 836 1498 12880 113
30,17264 5301 3194 345 22223 2016 6699 3804 3158 2715
31,731 448 667 1691 452 453 668 18484 446 1263
32,895 3133 2824 3474 3810 352 1556 2497 12051 615
33,1640 5410 1681 1678 1653 672 3819 848 4340 677
34,450 446 1263 448 1266 667 581 812 20422 14805
35,750 22403 8819 1534 22631 22443 673 10221 828 17075
36,581 446 453 811 450 1266 20422 404 458 796
37,20 436 353 58 208 56 271 62 348 645
38,270 352 58 393 54 62 932 53 1068 61
39,1502 692 2105 71 80 3992 5083 3991 77 3989
40,348 21 124 436 207 353 20 468 347 56
41,178 175 7303 314 3397 448 177 450 20 771
42,10156 12395 23105 18753 10862 18946 20021 4227 6676 16181
43,271 62 272 13178 809 25 20422 310 54 21511
45,67 68 75 2119 77 79 84 569 2112 2587
46,126 7569 106 2313 20422 778 7861 500 21 20
47,124 25 551 56 22 436 53 353 270 207
48,22931 5291 19718 15419 5373 10653 15719 12226 23964 16634
49,1327 25 21 393 22 56 53 394 272 58
50,272 62 394 450 208 20422 54 337 395 22435
51,4073 1048 4513 316 1914 56 1911 53 917 916
52,68 207 71 629 80 20 2106 2949 2111 4341
53,20422 19112 1263 100 11855 109 13063 1266 18484 2998
54,771 124 25 353 436 672 348 207 56 209
55,10221 15454 18939 21 8819 22441 22443 22631 9791 6712
56,541 1039 826 775 1108 773 385 995 154 993
57,20 21 207 56 432 270 23112 3709 15344 4380
58,62 21 271 58 270 393 1068 25 395 54
59,2792 5068 3391 4577 1514 1212 5070 1859 8954 2584
60,20 25 124 56 676 672 353 95 113 352
61,8466 8463 555 2585 537 626 551 1108 826 2110
62,126 3100 16481 676 677 7319 23131 3837 18279 2361
63,450 56 812 446 53 1263 22 396 598 537
64,19861 14515 2806 16801 1298 17932 8215 21458 22658 17655
65,385 773 19497 5202 19169 4102 1227 23481 153 13705
66,25 56 436 271 20 53 270 521 560 62
67,2256 100 828 2419 1733 2259 109 106 516 2305
68,22 13988 21 731 56 58 1691 448 271 25
69,826 626 1039 153 773 775 537 385 154 909
70,9371 4297 93 986 352 2281 521 55 14029 615
71,18919 15992 17699 24178 21578 12549 15714 19107 22400 1809
72,393 271 272 270 55 337 53 772 536 395
73,11621 21420 15304 17449 9829 14490 6138 10376 10023 11678
74,21 56 20 1004 22 124 270 436 58 353
75,22 56 20 450 448 667 598 396 453 124
76,667 448 1154 126 1266 446 1263 2039 773 1648
77,13991 18450 18181 17455 12846 7081 10198 14780 17236 18639
78,62 1068 53 598 54 772 395 536 1748 25
79,629 2114 2104 84 2119 2112 77 75 2109 67
80,124 22 353 347 20 348 436 25 2112 61
81,530 21 579 1486 1091 22139 575 130 496 493
82,543 1109 775 385 773 541 153 1555 555 938
83,56 446 1263 58 581 667 453 271 521 270
84,486 22 2010 124 1311 678 471 498 504 56
85,53 56 598 335 61 10617 270 393 348 336
86,77 68 67 2106 2104 2111 2119 2107 2587 2584
87,12585 22 2365 261 25 2363 21 124 353 436
88,12091 6675 23757 1543 10429 9865 10032 17179 1492 22114
89,12051 450 21 432 521 22 1648 20 352 44
90,448 62 394 450 271 272 93 393 1068 678
91,4380 22560 3709 15344 19820 3716 22561 5770 14738 3529
92,1128 16887 312 675 2077 130 8819 15454 11044 17075
93,3197 12385 22552 23826 20697 21167 6717 19918 6458 2655
94,1861 14793 6924 11205 14921 316 9573 14817 4036 11394
95,22782 352 11761 55 1870 1746 1556 16380 20 932
96,2535 1311 1266 1263 421 450 1194 22 446 803
97,19458 5879 14506 23969 4981 6203 727 5413 14797 12080
98,676 21 677 126 1048 771 1023 353 124 25
99,153 541 826 773 1039 1108 993 995 156 543
100,555 826 153 537 995 1039 993 543 1109 347
101,61 1748 270 55 394 2064 272 54 348 932
102,5125 21 28 1023 22 15607 15417 20 10363 327
103,673 16887 106 675 130 102 97 127 391 14460
104,2717 2525 126 2524 2522 17714 3539 1758 8875 3343
105,5070 4577 3391 5069 704 2792 5068 2057 4198 5938
106,257 21075 3517 24033 2312 8157 2659 14077 19310 13621
107,126 95 750 106 677 828 2900 673 17880 521
108,1502 3992 836 3994 4330 2105 6496 77 692 6495
109,207 348 22 347 25 27 345 353 436 53
110,846 19881 3425 469 632 3497 3499 20540 16062 12549
111,15344 22528 22980 22280 14738 16125 5876 7385 19822 17553
112,9209 19823 21 1836 126 81 18848 21111 20401 3503
113,61 56 932 598 62 271 393 396 1068 272
114,10353 356 126 364 890 344 684 1154 12056 80
115,14524 453 22435 14805 13988 667 6202 446 8875 8484
116,14732 6743 12170 2112 8019 20902 21433 68 14316 67
117,818 1901 2949 21 450 667 448 453 19497 2969
118,1266 1263 446 453 812 1317 448 1194 1630 1193
119,828 1532 1849 831 1832 750 2147 5735 6324 759
120,448 453 1263 450 458 14524 21 20422 13988 18484
121,995 11425 16068 20943 24127 385 775 19887 1108 8201
122,10221 11044 12114 22441 17075 15978 16713 15441 14172 20947
123,356 364 453 450 12515 6691 448 667 1266 20532
124,16887 17521 576 502 512 579 130 678 107 492
125,683 7128 448 1266 1578 1574 581 450 453 672
