user_id,item_list
0,25 20 353 391 14710 12542 436 617 673 752
1,6874 665 1689 20379 24467 20203 21912 1068 13204 393
2,676 21319 453 22415 8819 672 667 6712 18939 22441
3,20 21 58 352 55 393 536 109 62 396
4,21 56 124 68 80 2119 2106 20 436 353
5,53 21 393 270 348 22 25 20 207 2694
6,56 521 536 55 895 932 1746 598 337 272
7,1154 21 672 7569 4574 1618 14460 676 364 344
8,22511 9938 9470 11148 9829 22505 13504 4793 11621 10582
9,21 353 348 58 436 25 347 271 62 771
10,22 176 177 175 3397 179 21 353 917 743
11,16516 21 8650 124 1154 19370 11660 71 25 95
12,2494 673 750 5735 106 2419 12542 1535 675 14710
13,8355 5798 6777 20206 6149 13229 19984 168 22591 13086
14,56 124 22 771 25 2472 432 53 436 20369
15,22472 7632 16380 11761 56 22 25 124 771 348
16,432 22 20 124 7414 25 771 353 207 16272
17,1911 22 21 3502 174 20 2094 6224 1861 4072
18,80 71 356 2588 77 2104 88 2119 2346 629
19,16887 17521 496 130 102 493 56 15054 127 502
20,350 336 53 19219 3951 9395 1449 268 11429 5805
21,20422 448 13063 14805 2998 22435 11855 13988 18919 20958
22,53 752 336 617 598 56 61 1752 1835 2592
23,106 750 828 1154 1189 2077 2900 838 831 1534
24,7806 271 21205 24380 58 8215 10487 17574 9454 5172
25,25 348 353 436 468 53 27 207 541 1437
26,20 771 124 126 56 25 7868 672 353 458
27,56 58 1068 394 393 684 61 772 337 598
28,684 126 107 499 93 678 1311 95 677 498
29,836 2714 5440 113 710 1512 1498 6496 360 3582
30,345 3194 348 3158 21 3804 3803 1371 12460 526
31,731 667 448 1691 1263 446 458 1266 668 453
32,3474 895 1746 352 986 2824 1898 2497 521 2485
33,1640 5410 672 1653 1678 1681 21 7836 79 358
34,450 446 448 1263 667 581 8875 3539 828 831
35,22403 10221 8819 22631 22441 750 11044 12114 22443 18939
36,450 446 453 1266 811 581 20422 458 421 796
37,20 436 353 58 56 271 348 209 208 62
38,270 58 393 61 1068 62 352 396 54 895
39,1502 692 2105 71 80 6495 5083 3992 698 3994
40,124 348 436 207 353 347 61 393 468 396
41,178 7303 20 175 3397 314 177 771 353 917
42,21 10156 12395 20 18946 20021 11110 16552 23105 10862
43,13178 56 448 2998 62 20422 310 14805 4083 18919
45,67 75 68 79 77 2119 84 2106 73 2111
46,126 7861 22 13063 3539 575 672 22542 107 20422
47,25 124 53 56 22 551 436 353 207 393
48,21 22931 5373 15419 23964 18175 53 19718 15719 1648
49,1327 58 56 62 393 272 270 1068 396 21
50,448 20422 272 62 2036 14524 56 2998 453 22435
51,916 1048 917 1911 4073 53 22 4513 25 316
52,68 207 20 71 80 2106 629 2111 4341 14050
53,20422 1266 457 1263 450 109 453 1691 100 2998
54,25 124 353 436 207 348 347 56 209 53
55,10221 15454 8819 22443 22441 18939 21 9791 22631 17075
56,541 773 775 826 1039 1108 385 154 993 995
57,21 20 23112 15344 3709 207 56 4380 14651 25
58,62 58 21 271 1068 394 395 54 270 393
59,3391 2792 2108 5068 4577 1514 1212 1859 3358 1216
60,20 676 113 56 672 124 95 25 353 58
61,537 8463 551 555 8466 773 626 347 2585 826
62,126 3100 2361 676 2363 1910 21 22469 9842 15344
63,450 1263 124 581 446 812 56 348 22 1266
64,19861 14515 16801 17932 2806 17655 21458 13730 8215 22072
65,773 385 4102 21254 6010 21364 10730 20457 19497 626
66,25 56 20 348 436 560 773 1977 521 347
67,2256 100 828 1733 2002 109 2419 2259 2305 759
68,448 453 731 1691 22 668 21 458 1263 56
69,826 626 1039 773 385 347 775 468 153 537
70,352 521 676 4297 672 1328 126 615 124 1898
71,15992 18919 450 448 17699 24178 19107 10947 1809 13374
72,393 271 53 55 272 270 337 772 395 536
73,11621 15304 21420 6138 9829 10376 17449 11678 14490 10023
74,21 20 56 53 22 124 61 1068 396 1004
75,56 450 1263 453 1266 58 581 348 448 5938
76,126 1154 448 95 117 15284 667 22415 1648 17506
77,7081 19913 18639 13991 18450 10198 17236 14780 5954 4809
78,1068 62 598 54 395 772 53 1748 536 1753
79,629 75 2104 2114 84 77 67 2119 79 68
80,22 124 348 347 53 28 353 58 436 2112
81,530 576 1091 21 493 15054 1486 575 130 579
82,773 543 541 775 1109 385 626 938 555 153
83,446 247 1263 1154 581 126 56 811 453 812
84,486 2010 498 22 678 471 504 492 20 56
85,53 56 1928 23279 58 348 16138 22 20286 4414
86,77 67 2106 2104 2111 68 2119 4334 2587 2584
87,25 353 22 20 1326 12585 261 1911 28 347
88,21 25 6675 12091 124 23757 1543 22 10429 9865
89,21 7876 12051 22193 1648 352 432 450 448 22472
