SearchBayesianSkopt: New best config found. Config 0: {'topK': 181, 'beta': 1.556161577781167, 'alpha': 0.8502247937900573, 'normalize_similarity': False, 'implicit': False} - results: PRECISION: 0.0017371, PRECISION_RECALL_MIN_DEN: 0.0025013, RECALL: 0.0021345, MAP: 0.0006416, MAP_MIN_DEN: 0.0009339, MRR: 0.0053839, NDCG: 0.0029003, F1: 0.0019154, HIT_RATE: 0.0148757, ARHR_ALL_HITS: 0.0058629, NOVELTY: 0.0080233, AVERAGE_POPULARITY: 0.0026669, DIVERSITY_MEAN_INTER_LIST: 0.9936707, DIVERSITY_HERFINDAHL: 0.9993646, COVERAGE_ITEM: 0.5372899, COVERAGE_ITEM_HIT: 0.0206317, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0146052, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.1444836, SHANNON_ENTROPY: 11.7543080, RATIO_DIVERSITY_HERFINDAHL: 0.9997919, RATIO_DIVERSITY_GINI: 0.2904991, RATIO_SHANNON_ENTROPY: 0.8945609, RATIO_AVERAGE_POPULARITY: 0.0492037, RATIO_NOVELTY: 0.6164995, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 112, 'beta': 1.5612577557449492, 'alpha': 1.1237305971042462, 'normalize_similarity': True, 'implicit': True} - results: PRECISION: 0.0014900, PRECISION_RECALL_MIN_DEN: 0.0023684, RECALL: 0.0021331, MAP: 0.0005120, MAP_MIN_DEN: 0.0008142, MRR: 0.0045393, NDCG: 0.0028194, F1: 0.0017545, HIT_RATE: 0.0134077, ARHR_ALL_HITS: 0.0048153, NOVELTY: 0.0078686, AVERAGE_POPULARITY: 0.0034302, DIVERSITY_MEAN_INTER_LIST: 0.9783172, DIVERSITY_HERFINDAHL: 0.9978293, COVERAGE_ITEM: 0.4914417, COVERAGE_ITEM_HIT: 0.0167601, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0131639, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0865138, SHANNON_ENTROPY: 10.6269099, RATIO_DIVERSITY_HERFINDAHL: 0.9982559, RATIO_DIVERSITY_GINI: 0.1739448, RATIO_SHANNON_ENTROPY: 0.8087603, RATIO_AVERAGE_POPULARITY: 0.0632859, RATIO_NOVELTY: 0.6046127, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 288, 'beta': 1.0956338098740233, 'alpha': 0.03472246609421259, 'normalize_similarity': False, 'implicit': False} - results: PRECISION: 0.0068237, PRECISION_RECALL_MIN_DEN: 0.0103958, RECALL: 0.0093007, MAP: 0.0028354, MAP_MIN_DEN: 0.0042618, MRR: 0.0225146, NDCG: nan, F1: 0.0078720, HIT_RATE: 0.0550744, ARHR_ALL_HITS: 0.0251667, NOVELTY: 0.0078447, AVERAGE_POPULARITY: 0.0051596, DIVERSITY_MEAN_INTER_LIST: 0.9881765, DIVERSITY_HERFINDAHL: 0.9988152, COVERAGE_ITEM: 0.6279674, COVERAGE_ITEM_HIT: 0.0498217, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0540729, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.1253594, SHANNON_ENTROPY: 11.3223713, RATIO_DIVERSITY_HERFINDAHL: 0.9992423, RATIO_DIVERSITY_GINI: 0.2520480, RATIO_SHANNON_ENTROPY: 0.8616884, RATIO_AVERAGE_POPULARITY: 0.0951924, RATIO_NOVELTY: 0.6027761, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 48, 'beta': 0.17926964188024302, 'alpha': 1.9649980360037018, 'normalize_similarity': False, 'implicit': False} - results: PRECISION: 0.0026302, PRECISION_RECALL_MIN_DEN: 0.0041845, RECALL: 0.0038291, MAP: 0.0009484, MAP_MIN_DEN: 0.0015355, MRR: 0.0092419, NDCG: 0.0044396, F1: 0.0031184, HIT_RATE: 0.0256410, ARHR_ALL_HITS: 0.0093631, NOVELTY: 0.0065285, AVERAGE_POPULARITY: 0.0390080, DIVERSITY_MEAN_INTER_LIST: 0.9905701, DIVERSITY_HERFINDAHL: 0.9990546, COVERAGE_ITEM: 0.4091187, COVERAGE_ITEM_HIT: 0.0284768, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0251748, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0623884, SHANNON_ENTROPY: 10.6356075, RATIO_DIVERSITY_HERFINDAHL: 0.9994817, RATIO_DIVERSITY_GINI: 0.1254383, RATIO_SHANNON_ENTROPY: 0.8094223, RATIO_AVERAGE_POPULARITY: 0.7196808, RATIO_NOVELTY: 0.5016417, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 227, 'beta': 0.5507815635515417, 'alpha': 0.7806687415434403, 'normalize_similarity': True, 'implicit': True} - results: PRECISION: 0.0375979, PRECISION_RECALL_MIN_DEN: 0.0593587, RECALL: 0.0548511, MAP: 0.0174802, MAP_MIN_DEN: 0.0271512, MRR: 0.1242371, NDCG: nan, F1: 0.0446145, HIT_RATE: 0.2672245, ARHR_ALL_HITS: 0.1464504, NOVELTY: 0.0057061, AVERAGE_POPULARITY: 0.1922499, DIVERSITY_MEAN_INTER_LIST: 0.9070174, DIVERSITY_HERFINDAHL: 0.9906995, COVERAGE_ITEM: 0.5977585, COVERAGE_ITEM_HIT: 0.0541009, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.2623652, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0627608, SHANNON_ENTROPY: 9.3288278, RATIO_DIVERSITY_HERFINDAHL: 0.9911231, RATIO_DIVERSITY_GINI: 0.1261870, RATIO_SHANNON_ENTROPY: 0.7099699, RATIO_AVERAGE_POPULARITY: 3.5469319, RATIO_NOVELTY: 0.4384481, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 130, 'beta': 0.010648383263596668, 'alpha': 1.9867389444749408, 'normalize_similarity': True, 'implicit': True} - results: PRECISION: 0.0075308, PRECISION_RECALL_MIN_DEN: 0.0119557, RECALL: 0.0110594, MAP: 0.0033523, MAP_MIN_DEN: 0.0053429, MRR: 0.0301944, NDCG: 0.0172637, F1: 0.0089602, HIT_RATE: 0.0676992, ARHR_ALL_HITS: 0.0317846, NOVELTY: 0.0061508, AVERAGE_POPULARITY: 0.0663871, DIVERSITY_MEAN_INTER_LIST: 0.9796299, DIVERSITY_HERFINDAHL: 0.9979606, COVERAGE_ITEM: 0.1451859, COVERAGE_ITEM_HIT: 0.0326541, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0664681, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0282627, SHANNON_ENTROPY: 9.5348680, RATIO_DIVERSITY_HERFINDAHL: 0.9983872, RATIO_DIVERSITY_GINI: 0.0568251, RATIO_SHANNON_ENTROPY: 0.7256506, RATIO_AVERAGE_POPULARITY: 1.2248153, RATIO_NOVELTY: 0.4726150, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 169, 'beta': 1.3618141643782615, 'alpha': 1.2739530128304852, 'normalize_similarity': False, 'implicit': True} - results: PRECISION: 0.0018301, PRECISION_RECALL_MIN_DEN: 0.0027227, RECALL: 0.0024102, MAP: 0.0006876, MAP_MIN_DEN: 0.0010359, MRR: 0.0060905, NDCG: 0.0032707, F1: 0.0020805, HIT_RATE: 0.0163926, ARHR_ALL_HITS: 0.0064657, NOVELTY: 0.0077955, AVERAGE_POPULARITY: 0.0038128, DIVERSITY_MEAN_INTER_LIST: 0.9955217, DIVERSITY_HERFINDAHL: 0.9995497, COVERAGE_ITEM: 0.6237901, COVERAGE_ITEM_HIT: 0.0214468, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0160945, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.1926100, SHANNON_ENTROPY: 12.1766531, RATIO_DIVERSITY_HERFINDAHL: 0.9999771, RATIO_DIVERSITY_GINI: 0.3872622, RATIO_SHANNON_ENTROPY: 0.9267034, RATIO_AVERAGE_POPULARITY: 0.0703452, RATIO_NOVELTY: 0.5989920, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 145, 'beta': 0.3256541533096783, 'alpha': 0.24212124888526612, 'normalize_similarity': False, 'implicit': True} - results: PRECISION: 0.0427554, PRECISION_RECALL_MIN_DEN: 0.0691194, RECALL: 0.0641891, MAP: 0.0203756, MAP_MIN_DEN: 0.0325448, MRR: 0.1455383, NDCG: nan, F1: 0.0513244, HIT_RATE: 0.3017225, ARHR_ALL_HITS: 0.1711707, NOVELTY: 0.0049897, AVERAGE_POPULARITY: 0.2765307, DIVERSITY_MEAN_INTER_LIST: 0.8258915, DIVERSITY_HERFINDAHL: 0.9825871, COVERAGE_ITEM: 0.5736628, COVERAGE_ITEM_HIT: 0.0473765, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.2962358, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0325505, SHANNON_ENTROPY: 7.8463025, RATIO_DIVERSITY_HERFINDAHL: 0.9830072, RATIO_DIVERSITY_GINI: 0.0654461, RATIO_SHANNON_ENTROPY: 0.5971424, RATIO_AVERAGE_POPULARITY: 5.1018775, RATIO_NOVELTY: 0.3834018, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 269, 'beta': 1.1413925420981055, 'alpha': 1.3070974424344892, 'normalize_similarity': True, 'implicit': True} - results: PRECISION: 0.0047343, PRECISION_RECALL_MIN_DEN: 0.0075584, RECALL: 0.0069750, MAP: 0.0015818, MAP_MIN_DEN: 0.0025188, MRR: 0.0138085, NDCG: nan, F1: 0.0056403, HIT_RATE: 0.0422539, ARHR_ALL_HITS: 0.0147494, NOVELTY: 0.0074854, AVERAGE_POPULARITY: 0.0075501, DIVERSITY_MEAN_INTER_LIST: 0.9795457, DIVERSITY_HERFINDAHL: 0.9979522, COVERAGE_ITEM: 0.5323994, COVERAGE_ITEM_HIT: 0.0300051, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0414855, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0815172, SHANNON_ENTROPY: 10.5214291, RATIO_DIVERSITY_HERFINDAHL: 0.9983788, RATIO_DIVERSITY_GINI: 0.1638987, RATIO_SHANNON_ENTROPY: 0.8007327, RATIO_AVERAGE_POPULARITY: 0.1392970, RATIO_NOVELTY: 0.5751653, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 174, 'beta': 0.34500508387594786, 'alpha': 0.08495502089964058, 'normalize_similarity': True, 'implicit': False} - results: PRECISION: 0.0447935, PRECISION_RECALL_MIN_DEN: 0.0714367, RECALL: 0.0660561, MAP: 0.0216873, MAP_MIN_DEN: 0.0342420, MRR: 0.1519577, NDCG: nan, F1: 0.0533856, HIT_RATE: 0.3094539, ARHR_ALL_HITS: 0.1803172, NOVELTY: 0.0053210, AVERAGE_POPULARITY: 0.2151680, DIVERSITY_MEAN_INTER_LIST: 0.9056316, DIVERSITY_HERFINDAHL: 0.9905609, COVERAGE_ITEM: 0.7574121, COVERAGE_ITEM_HIT: 0.0651044, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.3038267, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0663526, SHANNON_ENTROPY: 9.0158969, RATIO_DIVERSITY_HERFINDAHL: 0.9909844, RATIO_DIVERSITY_GINI: 0.1334088, RATIO_SHANNON_ENTROPY: 0.6861543, RATIO_AVERAGE_POPULARITY: 3.9697618, RATIO_NOVELTY: 0.4088603, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 106, 'beta': 1.779116788155291, 'alpha': 0.543528735746482, 'normalize_similarity': False, 'implicit': True} - results: PRECISION: 0.0011279, PRECISION_RECALL_MIN_DEN: 0.0016441, RECALL: 0.0013970, MAP: 0.0003863, MAP_MIN_DEN: 0.0005665, MRR: 0.0033416, NDCG: 0.0017279, F1: 0.0012481, HIT_RATE: 0.0098845, ARHR_ALL_HITS: 0.0035917, NOVELTY: 0.0081755, AVERAGE_POPULARITY: 0.0021365, DIVERSITY_MEAN_INTER_LIST: 0.9841590, DIVERSITY_HERFINDAHL: 0.9984135, COVERAGE_ITEM: 0.4141111, COVERAGE_ITEM_HIT: 0.0144677, ITEMS_IN_GT: 0.9987264, COVERAGE_USER: 0.9818156, COVERAGE_USER_HIT: 0.0097048, USERS_IN_GT: 0.9818156, DIVERSITY_GINI: 0.0863549, SHANNON_ENTROPY: 10.8780418, RATIO_DIVERSITY_HERFINDAHL: 0.9988403, RATIO_DIVERSITY_GINI: 0.1736254, RATIO_SHANNON_ENTROPY: 0.8278727, RATIO_AVERAGE_POPULARITY: 0.0394183, RATIO_NOVELTY: 0.6281943, 
