SearchBayesianSkopt: New best config found. Config 0: {'epsilon': 0.3111476447032652, 'interactions_count': 15, 'norm': 2} - results: PRECISION: 0.0545475, PRECISION_RECALL_MIN_DEN: 0.0854468, RECALL: 0.0785192, MAP: 0.0261140, MAP_MIN_DEN: 0.0403221, MRR: 0.1719219, NDCG: 0.0826670, F1: 0.0643741, HIT_RATE: 0.3549215, ARHR_ALL_HITS: 0.2104730, NOVELTY: 0.0052596, AVERAGE_POPULARITY: 0.1985934, DIVERSITY_MEAN_INTER_LIST: 0.9330162, DIVERSITY_HERFINDAHL: 0.9932993, COVERAGE_ITEM: 0.6306673, COVERAGE_ITEM_HIT: 0.0498726, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3487232, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0420862, SHANNON_ENTROPY: 8.9251626, RATIO_DIVERSITY_HERFINDAHL: 0.9937279, RATIO_DIVERSITY_GINI: 0.0847998, RATIO_SHANNON_ENTROPY: 0.6795139, RATIO_AVERAGE_POPULARITY: 3.6901950, RATIO_NOVELTY: 0.4042992, 
SearchBayesianSkopt: New best config found. Config 1: {'epsilon': 0.4029508875009147, 'interactions_count': 7, 'norm': 2} - results: PRECISION: 0.0546844, PRECISION_RECALL_MIN_DEN: 0.0857303, RECALL: 0.0788366, MAP: 0.0261798, MAP_MIN_DEN: 0.0404616, MRR: 0.1726305, NDCG: 0.0829482, F1: 0.0645761, HIT_RATE: 0.3562662, ARHR_ALL_HITS: 0.2111817, NOVELTY: 0.0052573, AVERAGE_POPULARITY: 0.1994981, DIVERSITY_MEAN_INTER_LIST: 0.9320520, DIVERSITY_HERFINDAHL: 0.9932029, COVERAGE_ITEM: 0.6349465, COVERAGE_ITEM_HIT: 0.0493632, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3500444, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0424064, SHANNON_ENTROPY: 8.9106133, RATIO_DIVERSITY_HERFINDAHL: 0.9936315, RATIO_DIVERSITY_GINI: 0.0854449, RATIO_SHANNON_ENTROPY: 0.6784062, RATIO_AVERAGE_POPULARITY: 3.7070054, RATIO_NOVELTY: 0.4041172, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'epsilon': 0.3413809711067044, 'interactions_count': 38, 'norm': 2} - results: PRECISION: 0.0540805, PRECISION_RECALL_MIN_DEN: 0.0845727, RECALL: 0.0776743, MAP: 0.0260046, MAP_MIN_DEN: 0.0401632, MRR: 0.1718181, NDCG: 0.0822180, F1: 0.0637649, HIT_RATE: 0.3528678, ARHR_ALL_HITS: 0.2099676, NOVELTY: 0.0052554, AVERAGE_POPULARITY: 0.2001825, DIVERSITY_MEAN_INTER_LIST: 0.9322937, DIVERSITY_HERFINDAHL: 0.9932271, COVERAGE_ITEM: 0.6297504, COVERAGE_ITEM_HIT: 0.0468670, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3467054, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0419488, SHANNON_ENTROPY: 8.9276929, RATIO_DIVERSITY_HERFINDAHL: 0.9936556, RATIO_DIVERSITY_GINI: 0.0845228, RATIO_SHANNON_ENTROPY: 0.6797065, RATIO_AVERAGE_POPULARITY: 3.7197216, RATIO_NOVELTY: 0.4039773, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'epsilon': 0.6863549311537742, 'interactions_count': 22, 'norm': 2} - results: PRECISION: 0.0544668, PRECISION_RECALL_MIN_DEN: 0.0854692, RECALL: 0.0786496, MAP: 0.0261264, MAP_MIN_DEN: 0.0404549, MRR: 0.1728342, NDCG: 0.0828914, F1: 0.0643616, HIT_RATE: 0.3564618, ARHR_ALL_HITS: 0.2111969, NOVELTY: 0.0052567, AVERAGE_POPULARITY: 0.2010907, DIVERSITY_MEAN_INTER_LIST: 0.9307315, DIVERSITY_HERFINDAHL: 0.9930709, COVERAGE_ITEM: 0.6435558, COVERAGE_ITEM_HIT: 0.0484463, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3502366, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0435192, SHANNON_ENTROPY: 8.9102272, RATIO_DIVERSITY_HERFINDAHL: 0.9934994, RATIO_DIVERSITY_GINI: 0.0876871, RATIO_SHANNON_ENTROPY: 0.6783768, RATIO_AVERAGE_POPULARITY: 3.7365983, RATIO_NOVELTY: 0.4040754, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'epsilon': 0.345581604221852, 'interactions_count': 59, 'norm': 1} - results: PRECISION: 0.0544423, PRECISION_RECALL_MIN_DEN: 0.0853017, RECALL: 0.0784144, MAP: 0.0261087, MAP_MIN_DEN: 0.0403762, MRR: 0.1722196, NDCG: 0.0826968, F1: 0.0642657, HIT_RATE: 0.3550193, ARHR_ALL_HITS: 0.2106810, NOVELTY: 0.0052585, AVERAGE_POPULARITY: 0.1999167, DIVERSITY_MEAN_INTER_LIST: 0.9321468, DIVERSITY_HERFINDAHL: 0.9932124, COVERAGE_ITEM: 0.6358635, COVERAGE_ITEM_HIT: 0.0480387, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3488193, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0426922, SHANNON_ENTROPY: 8.9260251, RATIO_DIVERSITY_HERFINDAHL: 0.9936409, RATIO_DIVERSITY_GINI: 0.0860208, RATIO_SHANNON_ENTROPY: 0.6795795, RATIO_AVERAGE_POPULARITY: 3.7147830, RATIO_NOVELTY: 0.4042086, 
SearchBayesianSkopt: New best config found. Config 5: {'epsilon': 0.6977208563736905, 'interactions_count': 43, 'norm': 1} - results: PRECISION: 0.0547406, PRECISION_RECALL_MIN_DEN: 0.0860190, RECALL: 0.0791456, MAP: 0.0262143, MAP_MIN_DEN: 0.0405410, MRR: 0.1728750, NDCG: 0.0831449, F1: 0.0647188, HIT_RATE: 0.3576353, ARHR_ALL_HITS: 0.2115106, NOVELTY: 0.0052976, AVERAGE_POPULARITY: 0.1976416, DIVERSITY_MEAN_INTER_LIST: 0.9321711, DIVERSITY_HERFINDAHL: 0.9932148, COVERAGE_ITEM: 0.6970963, COVERAGE_ITEM_HIT: 0.0517575, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3513897, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0518587, SHANNON_ENTROPY: 9.0119129, RATIO_DIVERSITY_HERFINDAHL: 0.9936434, RATIO_DIVERSITY_GINI: 0.1044904, RATIO_SHANNON_ENTROPY: 0.6861186, RATIO_AVERAGE_POPULARITY: 3.6725073, RATIO_NOVELTY: 0.4072185, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'epsilon': 0.3041322142562781, 'interactions_count': 45, 'norm': 2} - results: PRECISION: 0.0539582, PRECISION_RECALL_MIN_DEN: 0.0843261, RECALL: 0.0774318, MAP: 0.0259104, MAP_MIN_DEN: 0.0400187, MRR: 0.1714362, NDCG: 0.0819956, F1: 0.0635982, HIT_RATE: 0.3525255, ARHR_ALL_HITS: 0.2094004, NOVELTY: 0.0052547, AVERAGE_POPULARITY: 0.2005863, DIVERSITY_MEAN_INTER_LIST: 0.9320772, DIVERSITY_HERFINDAHL: 0.9932054, COVERAGE_ITEM: 0.6295466, COVERAGE_ITEM_HIT: 0.0464086, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3463691, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0419475, SHANNON_ENTROPY: 8.9293218, RATIO_DIVERSITY_HERFINDAHL: 0.9936340, RATIO_DIVERSITY_GINI: 0.0845202, RATIO_SHANNON_ENTROPY: 0.6798305, RATIO_AVERAGE_POPULARITY: 3.7272254, RATIO_NOVELTY: 0.4039191, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'epsilon': 0.42224447327379344, 'interactions_count': 40, 'norm': 2} - results: PRECISION: 0.0542712, PRECISION_RECALL_MIN_DEN: 0.0848232, RECALL: 0.0779474, MAP: 0.0260664, MAP_MIN_DEN: 0.0402604, MRR: 0.1721949, NDCG: 0.0824472, F1: 0.0639895, HIT_RATE: 0.3541147, ARHR_ALL_HITS: 0.2104861, NOVELTY: 0.0052548, AVERAGE_POPULARITY: 0.2001630, DIVERSITY_MEAN_INTER_LIST: 0.9321026, DIVERSITY_HERFINDAHL: 0.9932080, COVERAGE_ITEM: 0.6307692, COVERAGE_ITEM_HIT: 0.0473765, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3479305, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0419965, SHANNON_ENTROPY: 8.9196652, RATIO_DIVERSITY_HERFINDAHL: 0.9936365, RATIO_DIVERSITY_GINI: 0.0846191, RATIO_SHANNON_ENTROPY: 0.6790953, RATIO_AVERAGE_POPULARITY: 3.7193593, RATIO_NOVELTY: 0.4039251, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'epsilon': 0.7493157285394485, 'interactions_count': 41, 'norm': 2} - results: PRECISION: 0.0545743, PRECISION_RECALL_MIN_DEN: 0.0857587, RECALL: 0.0789514, MAP: 0.0261285, MAP_MIN_DEN: 0.0404461, MRR: 0.1727875, NDCG: 0.0829690, F1: 0.0645377, HIT_RATE: 0.3569997, ARHR_ALL_HITS: 0.2111590, NOVELTY: 0.0052693, AVERAGE_POPULARITY: 0.1992285, DIVERSITY_MEAN_INTER_LIST: 0.9315085, DIVERSITY_HERFINDAHL: 0.9931486, COVERAGE_ITEM: 0.6570555, COVERAGE_ITEM_HIT: 0.0503821, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3507651, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0454537, SHANNON_ENTROPY: 8.9317767, RATIO_DIVERSITY_HERFINDAHL: 0.9935771, RATIO_DIVERSITY_GINI: 0.0915849, RATIO_SHANNON_ENTROPY: 0.6800174, RATIO_AVERAGE_POPULARITY: 3.7019963, RATIO_NOVELTY: 0.4050445, 
SearchBayesianSkopt: New best config found. Config 9: {'epsilon': 0.5421561572338705, 'interactions_count': 41, 'norm': 1} - results: PRECISION: 0.0548897, PRECISION_RECALL_MIN_DEN: 0.0861671, RECALL: 0.0792725, MAP: 0.0263004, MAP_MIN_DEN: 0.0406567, MRR: 0.1732567, NDCG: 0.0833230, F1: 0.0648655, HIT_RATE: 0.3576842, ARHR_ALL_HITS: 0.2120639, NOVELTY: 0.0052688, AVERAGE_POPULARITY: 0.1991083, DIVERSITY_MEAN_INTER_LIST: 0.9319384, DIVERSITY_HERFINDAHL: 0.9931916, COVERAGE_ITEM: 0.6556291, COVERAGE_ITEM_HIT: 0.0505349, ITEMS_IN_GT: 0.9990321, COVERAGE_USER: 0.9825362, COVERAGE_USER_HIT: 0.3514377, USERS_IN_GT: 0.9825362, DIVERSITY_GINI: 0.0452121, SHANNON_ENTROPY: 8.9378491, RATIO_DIVERSITY_HERFINDAHL: 0.9936201, RATIO_DIVERSITY_GINI: 0.0910981, RATIO_SHANNON_ENTROPY: 0.6804798, RATIO_AVERAGE_POPULARITY: 3.6997622, RATIO_NOVELTY: 0.4050058, 
SearchBayesianSkopt: Search complete. Best config is 9: {'epsilon': 0.5421561572338705, 'interactions_count': 41, 'norm': 1}
